title,url,target_price,rating,reviews,availability
"TVS Originals 100% Cotton Overdyed Polo T-Shirt for Men | Heavyweight 240 GSM | Washed Finish for Vintage Look | Classic Fit with Side Slits | Soft Ribbed Collar | Durable, Pre-Washed, Premium Feel",https://www.amazon.in/gp/aw/d/B0FH9J9VXY?pd_rd_plhdr=t&hsa_cr_id=0&qid=1789134778&sr=1-1-941ebe59-d25b-49d0-b214-12cc5b66c90f&i=aps&aref=wsdpJlJGBJ&_encoding=UTF8&ref_=sbx_s_sparkle_sbtcd_asin_0_title&pd_rd_w=hkVwn&content-id=amzn1.sym.7b6188a8-103f-4f88-b43a-19aba06e30c1%3Aamzn1.sym.7b6188a8-103f-4f88-b43a-19aba06e30c1&pf_rd_p=7b6188a8-103f-4f88-b43a-19aba06e30c1&pf_rd_r=NSM1EVTP5VX9ACY3PTWT&pd_rd_wg=815Vo&pd_rd_r=860fb88a-be53-4daf-8d0d-39904228e97a&th=1&psc=1,,1.0,,In stock
Men's Premium Waffle Knit Henley Tshirt for Men,https://www.amazon.in/QUTUN-Premium-Waffle-Henley-Tshirt/dp/B0H74XDHMM/ref=sr_1_8?crid=1ENB8I08MQZHW&dib=eyJ2IjoiMSJ9.pNDhyp9aWJr_Brl-RhDjb6GsMWYHe4sVJGGX7D7BTfeJZOyR6_vqnYYEbCky3zqq5dn_sL9DqvtbLXwxeBn27d3RZdJCiJdP4vL6bmNyAe_2r3XIJtNV6nNZXGlD5ciD6Om7n-DrYOM6UhoXNZkJ0ghzBGIb0z6xcgjvueaHEu7syNOfdHJULhqenp4YDzMvHVTtiAUXSSAmUP98Hx130Ou14tnR_k1FsDKD0ntgh-2w9OfGLXrubO2VNCCfpR7DOfmbLeT2GLNMdzYDO0aC1zmiSKlZYGBu0oaXVC62dFA.R3qnVZYfRCU9OXfWyH0UMKI4n5gfFrTBCrcovG6eYBI&dib_tag=se&keywords=tshirt%2Bshirts%2Bmen&qid=1789134778&sprefix=tshi%2Caps%2C473&sr=8-8&th=1&psc=1,,4.2,,In stock
Gap Men Graphic Printed Slim Fit Crew Neck Short Sleeves Cotton T-Shirt,https://www.amazon.in/GAP-Graphic-Printed-Sleeves-T-Shirt/dp/B0GK1BDZR7/ref=sr_1_1_sspa?crid=1ENB8I08MQZHW&dib=eyJ2IjoiMSJ9.pNDhyp9aWJr_Brl-RhDjb6GsMWYHe4sVJGGX7D7BTfeJZOyR6_vqnYYEbCky3zqq5dn_sL9DqvtbLXwxeBn27d3RZdJCiJdP4vL6bmNyAe_2r3XIJtNV6nNZXGlD5ciD6Om7n-DrYOM6UhoXNZkJ0ghzBGIb0z6xcgjvueaHEu7syNOfdHJULhqenp4YDzMvHVTtiAUXSSAmUP98Hx130Ou14tnR_k1FsDKD0ntgh-2w9OfGLXrubO2VNCCfpR7DOfmbLeT2GLNMdzYDO0aC1zmiSKlZYGBu0oaXVC62dFA.R3qnVZYfRCU9OXfWyH0UMKI4n5gfFrTBCrcovG6eYBI&dib_tag=se&keywords=tshirt%2Bshirts%2Bmen&qid=1789134778&sprefix=tshi%2Caps%2C473&sr=8-1-spons&aref=PJmTmYdMC3&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1&psc=1,,4.0,,In stock
AUSK Men's Cotton Blend Rib Knit Textured Full Sleeve Polo T-Shirt | Regular Fit Zip Polo Neck Smart Casual T Shirt for Men | Stylish Fashion & Casual Wear Tshirt for Men,https://www.amazon.in/AUSK-Textured-T-Shirt-Regular-Stylish/dp/B0H9LJZF4R/ref=sr_1_10?crid=1ENB8I08MQZHW&dib=eyJ2IjoiMSJ9.pNDhyp9aWJr_Brl-RhDjb6GsMWYHe4sVJGGX7D7BTfeJZOyR6_vqnYYEbCky3zqq5dn_sL9DqvtbLXwxeBn27d3RZdJCiJdP4vL6bmNyAe_2r3XIJtNV6nNZXGlD5ciD6Om7n-DrYOM6UhoXNZkJ0ghzBGIb0z6xcgjvueaHEu7syNOfdHJULhqenp4YDzMvHVTtiAUXSSAmUP98Hx130Ou14tnR_k1FsDKD0ntgh-2w9OfGLXrubO2VNCCfpR7DOfmbLeT2GLNMdzYDO0aC1zmiSKlZYGBu0oaXVC62dFA.R3qnVZYfRCU9OXfWyH0UMKI4n5gfFrTBCrcovG6eYBI&dib_tag=se&keywords=tshirt%2Bshirts%2Bmen&qid=1789134778&sprefix=tshi%2Caps%2C473&sr=8-10&th=1&psc=1,,3.2,,In stock
